Counter_x	Image	class label	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	Concentration (C)	Asymmetry (A)	Clumpiness (S)	Sersic N	Shape Asymmetry (A_S)	Counter_y	$\Delta$PA	v_asym	s_asym	resids	\lambdare	$\epsilon$	A	$A_2$	deltapos	deltapos2	nspax	re	$\mu_V$	$\sigma_{V}$	skewvel	$h_{4,V}$	$\mu_{\sigma}$	$\sigma_{\sigma}$	skewsig	$h_{4,\sigma}$	$|h_{3,V}|$	$|h_{3,\sigma}|$	random
20	fg3_m12	0	0.05	0	1	0.0	0.0	0.5062803444170522	-1.8042520829400703	2.775075979590392	-0.030828990458967205	-0.022592060299984684	0.9277	0.0492912009967652	126	5.38	0.03	0.07	7.44	0.55	0.15	1.12	3.53	0.43	0.48	764	14.45	2.12	51.91	-0.04	-1.11	62.92	19.39	0.09	0.89	0.04	0.09	1.09
21	fg3_m12	0	0.1	0	1	0.0	0.0	0.5152374945440811	-1.7504783388270442	2.6732858301197937	-0.03998352381219745	-0.008071463713171679	0.8662	0.07026071407813465	132	3.71	0.03	0.07	7.8	0.56	0.12	3.84	18.0	0.43	0.77	1256	14.88	3.73	59.6	-0.07	-1.19	58.25	20.57	-0.02	0.45	0.07	0.02	0.1
22	fg3_m12	0	0.2	0	1	0.0	0.0	0.4854033979515878	-1.7772639790482732	2.682457386188604	-0.005923701957232027	0.003658968100496422	0.9198	0.0672555789667911	139	5.18	0.03	0.08	6.08	0.58	0.15	3.11	8.78	0.43	0.48	764	13.87	3.87	54.31	0.01	-1.19	61.47	19.95	0.02	0.5	0.01	0.02	0.64
23	fg3_m12	0	0.29	0	1	0.0	0.0	0.5276251845769904	-1.7899760248412215	2.740931282240063	-0.006660321860613845	0.005235540738503799	0.8606	0.09485323303051496	146	0.75	0.03	0.08	7.43	0.58	0.11	3.18	12.61	0.43	0.77	764	14.52	1.94	53.49	-0.06	-1.2	60.45	20.67	-0.01	0.57	0.06	0.01	0.87
24	fg3_m12	1	0.39	0	2	12.478451773846901	2.0720488977590046	0.5002586868324305	-0.8863544381587901	1.7459227049734	0.30756896263840633	0.009599526997596036	0.8234	0.3712137495024295	152	19.18	0.03	0.07	7.39	0.58	0.37	3.03	8.65	0.3	0.77	1256	15.57	1.55	58.27	0.0	-1.19	60.74	22.09	0.21	0.64	0.0	0.21	2.49
25	fg3_m12	1	0.59	0	2	8.062354827289068	6.698846094165263	0.5631819963522798	-1.770612312106536	3.0824119488161013	0.18911808163136345	0.02586087787776265	1.296	0.4832893926247031	158	31.36	0.04	0.07	10.97	0.5	0.37	3.35	3.98	0.68	0.48	368	11.13	3.32	55.79	0.0	-1.17	89.36	22.22	0.3	-0.38	0.0	0.3	-0.69
26	fg3_m12	1	0.78	0	1	0.0	0.0	0.6807174658076163	-2.3250412203021305	5.002809500922343	0.19983118252203905	0.0054918871122525866	3.6285	0.3803395537385588	165	13.41	0.07	0.1	10.53	0.36	-0.18	10.91	16.46	0.68	0.48	368	7.93	10.31	50.7	-0.18	-1.17	98.22	30.16	0.95	0.2	0.18	0.95	-1.06
27	fg3_m12	1	0.98	0	1	0.0	0.0	0.6442236654939066	-2.374329830503493	4.461865450667871	0.1411003503040407	0.0061325063493055595	3.5467	0.4428697794113567	171	15.22	0.04	0.05	7.69	0.37	0.29	6.65	5.59	0.68	0.48	368	8.04	3.21	51.17	-0.01	-1.19	93.82	26.55	0.61	-0.05	0.01	0.61	0.86
29	fg3_m12	1	1.37	0	1	0.0	0.0	0.5779660616511321	-2.407849931942573	4.776873223316138	0.12141614279294245	0.0063261434576814156	4.1465	0.219144316599638	183	0.25	0.03	0.05	9.98	0.14	0.32	29.91	22.41	0.86	0.48	368	4.21	6.05	53.87	-0.03	-1.16	103.29	32.18	0.71	-0.37	0.03	0.71	1.87
30	fg3_m12	1	1.56	0	1	0.0	0.0	0.5903435312387915	-2.1846488025761954	4.924676977734536	0.14387357074376655	0.0057592118818465795	4.0323	0.31937620154100216	190	59.99	0.03	0.05	11.0	0.36	-0.19	11.73	16.03	0.86	0.48	368	7.71	2.35	56.37	0.02	-1.18	101.52	29.3	0.55	-0.48	0.02	0.55	2.01
31	fg3_m12	1	1.66	1	1	0.0	0.0	0.5824424824351411	-2.417139037101196	4.264986864796308	0.047522907269157436	0.013453297919174044	2.9475	0.3321939073451785	1	0.35	0.04	0.06	11.78	0.6	0.66	9.61	15.55	0.96	0.48	705	13.5	37.17	86.5	0.01	-0.89	94.88	29.39	1.03	0.68	0.01	1.03	0.54
32	fg3_m12	1	1.76	1	2	7.3019504811309925	2.0050259599794003	0.5541768917761705	-0.7863379448003911	1.7495716202740703	0.19862354953865904	0.1017488162200028	2.6098	0.42517537912475056	6	4.36	0.03	0.05	11.68	0.67	0.65	16.74	35.51	0.96	0.48	1174	20.59	54.68	114.34	0.11	-1.46	103.19	26.67	0.63	0.34	0.11	0.63	-0.63
33	fg3_m12	1	1.81	1	2	7.259936393679905	2.4605942228143842	0.5846360591029056	-0.7988052313903707	1.6118114585581134	0.453960428508231	0.08230448975212762	1.8364	0.5669359826591847	13	26.17	0.07	0.09	36.14	0.6	0.69	13.17	23.14	2.88	0.77	1510	23.46	19.24	115.07	0.12	-1.09	148.91	40.73	0.66	0.11	0.12	0.66	2.03
34	fg3_m12	1	1.86	1	2	12.662387283890144	6.767682874665593	0.6190271397318292	-0.6664904306623989	2.2595920273042807	0.7194675556327191	0.12384629263951526	3.7718	0.7697737282254987	20	36.62	0.05	0.05	14.04	0.56	0.53	6.27	10.68	0.91	0.48	1097	15.22	3.94	79.17	0.14	-1.1	98.27	28.61	0.61	-0.39	0.14	0.61	0.12
36	fg3_m12	1	2.0	1	2	7.6695768321806685	3.641497364719743	0.6266023710472575	-0.6013823875118335	1.319390237352296	0.5981404033158018	0.15638177013535182	2.8987	0.87140723820501	31	67.82	0.4	0.17	9.73	0.65	0.79	49.62	37.63	2.57	0.64	908	45.56	84.2	16.89	-0.06	0.89	107.35	39.19	2.62	8.86	0.06	2.62	-0.56
37	fg3_m12	1	2.05	1	2	1.660908720483394	4.263045814609724	0.5846535541640218	-1.1400970947681612	2.8861804919375245	0.23324575555205165	0.033323170845078305	2.4313	0.3133549160003228	38	29.91	0.1	0.07	20.13	0.27	0.37	48.13	48.16	0.43	0.77	368	7.78	12.99	62.99	0.05	-0.77	192.66	42.73	0.2	-0.89	0.05	0.2	-0.77
38	fg3_m12	1	2.15	1	1	0.0	0.0	0.5922301256232528	-2.291529303679122	4.124414523000175	0.17348806183287832	0.0046526347040382905	2.7562	0.7059062062134387	45	61.59	0.54	0.06	11.8	0.13	-0.22	27.06	22.95	0.68	0.48	368	6.75	21.52	40.53	-0.32	-0.52	156.91	27.29	0.14	-0.3	0.32	0.14	1.04
45	fg3_m12	0	2.79	1	1	0.0	0.0	0.6075953418631828	-2.319024424441817	4.676255088270716	0.10154461637887444	-0.002890712939362023	3.1898	0.2408462022908668	92	68.15	0.26	0.05	8.12	0.1	0.22	33.49	18.2	0.68	0.77	368	5.07	15.41	48.72	0.23	-0.73	162.33	36.23	0.58	-0.53	0.23	0.58	-0.38
48	fg3_m12	0	5.18	1	1	0.0	0.0	0.5774580045257096	-2.3413986643071465	4.006456044469926	-0.02474745546915309	-0.02743978207464004	2.9513	0.08329514236516226	109	12.76	0.05	0.05	11.99	0.27	0.26	15.48	19.77	0.86	0.48	368	8.06	8.57	58.62	-0.11	-1.06	160.49	30.86	0.68	-0.38	0.11	0.68	0.3
49	fg3_m12	0	5.57	1	1	0.0	0.0	0.602588324744152	-2.415845640992221	4.211162697701472	-0.037197155459121965	-0.025801607052651342	3.3441	0.1669152334129336	116	0.41	0.06	0.04	9.91	0.29	0.24	11.67	14.02	0.68	0.77	368	9.01	12.78	60.57	-0.06	-1.0	161.79	34.42	0.59	-0.59	0.06	0.59	-2.15
50	fg3_m12	0	6.06	1	1	0.0	0.0	0.5786086217713666	-2.3960769556520862	4.2665248502544015	-0.038146443263794384	-0.013168882296207066	3.2703	0.0690394942911607	121	1.94	0.03	0.02	10.38	0.45	0.66	4.39	9.91	0.96	0.48	1098	28.74	17.76	74.31	-0.01	-1.33	137.37	22.98	1.49	1.85	0.01	1.49	-1.09
51	fg3_m12	0	0.05	1	1	0.0	0.0	0.5968987531146827	-1.6234307501501062	3.350695164503024	0.010048531506099623	0.054886391295623366	0.5445	0.10416888006754774	127	8.08	0.05	0.08	13.04	0.87	0.85	2.98	1.7	0.68	0.48	913	23.5	0.68	109.56	-0.0	-1.42	53.68	18.24	-0.06	1.02	0.0	0.06	0.61
52	fg3_m12	0	0.1	1	1	0.0	0.0	0.5980753727624017	-1.5986211845208242	3.3666537597214066	0.008830517060063783	0.07091245041431443	0.5319	0.08308370818426229	133	5.94	0.06	0.09	11.07	0.88	0.85	4.26	2.4	0.68	0.48	895	22.9	6.23	113.89	0.01	-1.43	54.67	18.17	-0.06	0.53	0.01	0.06	-0.58
53	fg3_m12	0	0.2	1	1	0.0	0.0	0.5956134351048245	-1.5618488133480906	3.2743556114814782	-0.016355104322466268	0.07167570336276673	0.5176	0.1212942165771894	140	2.23	0.05	0.09	19.09	0.89	0.85	5.05	2.69	0.68	0.48	872	23.39	18.46	114.37	0.07	-1.31	53.77	20.84	0.19	1.23	0.07	0.19	0.72
56	fg3_m12	1	0.59	1	2	0.0	0.0	0.7069203845966634	-2.3365691694128654	3.3266514207465314	0.17334810104378282	0.028053654751711617	0.8328	0.6846765829822046	159	6.15	0.06	0.09	14.57	0.68	0.78	38.24	32.15	1.09	0.48	507	14.2	23.96	94.76	-0.09	-1.3	95.66	26.97	-0.01	-0.41	0.09	0.01	0.32
57	fg3_m12	1	0.98	1	1	0.0	0.0	0.5723510061232869	-2.2361292867792955	4.093884861291768	0.04816324836851822	0.030471550050490112	2.0601	0.23007568926209385	172	1.19	0.03	0.05	10.46	0.67	0.71	15.98	42.93	0.61	0.48	870	16.31	5.38	94.17	0.02	-1.23	83.99	20.94	0.46	1.17	0.02	0.46	-0.27
58	fg3_m12	1	1.17	1	1	0.0	0.0	0.6106689444873182	-2.2060637257841154	3.819007287191512	0.1002303913717138	0.006170519916883466	2.2314	0.2522893230446848	178	6.73	0.03	0.06	9.63	0.6	0.65	13.1	5.72	0.91	0.77	636	12.73	0.72	89.58	0.04	-1.0	94.8	24.68	0.62	0.71	0.04	0.62	0.14
59	fg3_m12	1	1.37	1	1	0.0	0.0	0.6224425221061975	-2.3613521309472443	4.210500181088647	0.0444356203656773	0.015002481826439238	2.495	0.30658054337805185	184	7.3	0.03	0.05	7.71	0.63	0.7	5.11	9.54	0.68	0.77	657	13.85	2.01	90.81	-0.14	-1.0	97.0	26.29	1.02	0.95	0.14	1.02	-0.64
60	fg3_m12	1	1.56	1	1	0.0	0.0	0.6204487296734962	-2.06795086050968	4.182141316452456	0.11849623727381148	0.00027259545990517654	2.7471	0.17687488979440755	191	1.1	0.03	0.06	11.23	0.59	0.66	8.86	6.14	0.96	0.48	659	12.39	26.7	89.53	0.05	-1.01	94.96	27.81	0.91	0.74	0.05	0.91	-0.35
61	fg3_m12	1	1.66	2	1	0.0	0.0	0.5969495489566513	-2.3782132376270484	4.167812742089389	0.05611761697934557	-0.0025026957519413483	3.4638	0.3971237531401659	2	3.27	0.03	0.06	19.53	0.57	0.52	9.06	14.42	1.09	0.48	368	10.65	23.28	81.78	-0.01	-1.05	106.7	29.16	0.62	-0.37	0.01	0.62	-0.47
62	fg3_m12	1	1.76	2	2	7.5800877823449895	3.3290475623611924	0.6091824715418195	-1.1656139502095157	4.26523975824911	0.35513659375133066	0.00022277647082647554	3.3093	0.7809563884078231	7	1.55	0.03	0.04	14.29	0.66	0.39	13.35	33.54	1.82	0.48	1134	17.14	35.88	97.88	-0.12	-1.19	96.0	30.09	1.43	3.24	0.12	1.43	-1.21
63	fg3_m12	1	1.81	2	2	5.830927639654693	3.713641701919553	0.5847712337567872	-1.1327860032379986	1.6274921088067391	0.6052582327944164	0.09240779600985874	3.1027	0.6993093737241314	14	0.73	0.04	0.05	24.48	0.6	0.34	15.51	26.25	1.21	0.48	1629	19.48	30.76	129.91	0.32	-1.18	136.39	35.78	0.42	0.16	0.32	0.42	-1.89
64	fg3_m12	1	1.86	2	2	11.022135144285311	5.567240719716257	0.6298231396235907	-0.9495160791805476	4.444576728050558	0.34568610520001297	-0.0015953247839845825	5.1375	0.6784979903480618	21	44.56	0.05	0.07	11.49	0.48	0.34	6.03	7.9	1.25	0.77	762	13.75	5.66	68.03	-0.09	-1.14	103.14	27.89	0.87	0.86	0.09	0.87	0.44
65	fg3_m12	1	1.91	2	2	12.861542885240851	4.807065059815347	0.6254379901475788	-0.8074955029637549	4.489677502300574	0.1308201731362476	-0.1767399089961602	2.6245	0.8299190628679256	26	11.16	0.06	0.05	11.27	0.36	0.39	9.82	17.74	0.86	0.48	704	11.56	15.12	61.31	-0.29	-1.22	107.32	29.47	0.46	-0.39	0.29	0.46	0.28
66	fg3_m12	1	2.0	2	2	8.121421502558679	5.408539427480616	0.6321483368635942	-0.7814530714152287	4.230520178505014	0.3222775137001162	0.001498243061846909	2.6173	0.5774739448490163	32	12.28	0.08	0.05	19.43	0.41	0.4	21.06	23.04	1.09	0.48	368	10.36	36.18	68.14	-0.14	-1.13	132.97	27.46	0.28	-0.39	0.14	0.28	-0.72
67	fg3_m12	1	2.05	2	2	1.4912630444619046	5.808714081344352	0.5860438855950741	-1.4849821787122617	2.9799658849770743	0.27291424772194056	0.020461186071625972	1.6648	0.3761940981609912	39	50.22	0.09	0.05	23.31	0.33	0.1	25.06	20.72	1.09	0.77	368	7.56	3.08	83.08	-0.66	-0.72	177.79	34.61	-0.05	-0.88	0.66	0.05	1.48
68	fg3_m12	1	2.15	2	1	0.0	0.0	0.5856504590718248	-2.1988805985402347	4.010520506877677	0.05985297320032351	-0.007819132156186022	2.1142	0.16666730933888968	46	7.43	0.07	0.02	13.13	0.23	0.19	12.43	13.91	0.96	0.48	368	9.08	2.62	46.83	-0.15	-1.01	154.53	24.47	-0.17	-0.57	0.15	0.17	-2.09
73	fg3_m12	0	2.69	2	1	0.0	0.0	0.5830226367981499	-2.1166135165537034	3.61976908859173	0.05348492319000283	-0.0004708186780256365	2.0528	0.228010171835271	87	7.94	0.05	0.05	8.89	0.26	0.16	7.13	8.85	0.68	0.48	368	9.73	10.34	51.34	-0.05	-1.13	153.42	29.18	-0.08	-0.7	0.05	0.08	0.41
74	fg3_m12	0	2.79	2	1	0.0	0.0	0.5726483598919921	-2.086251951037167	3.755783039958153	0.04955520506395116	-0.009604540659364356	2.2529	0.1897984251165229	93	23.13	0.08	0.05	14.22	0.27	0.21	12.28	12.38	1.09	0.48	368	9.42	22.6	51.41	0.03	-1.05	152.91	29.19	0.1	-0.71	0.03	0.1	0.49
76	fg3_m12	0	4.6	2	1	0.0	0.0	0.5539127851552859	-2.3516211579908863	4.038184820457253	0.01051687581837781	0.008714403995350088	3.3047	0.1870684531472311	103	28.28	0.05	0.05	8.87	0.25	0.1	7.51	8.54	0.86	0.48	368	8.79	15.29	52.72	0.06	-1.1	157.9	35.11	0.79	-0.06	0.06	0.79	-1.58
